date,market,TSLA,NVDA,WMT,F,AAPL,GOOG,MSTR,PG,GLD,AMZN,XOM,BRK-B,BRK-A,XLK,BA,JPM,CAT,TGT,DAL,UAL,AAL,LUV,ALK,JNK,VCIT,rf,AAL_price,AAPL_price,ALK_price,AMZN_price,BA_price,BRK-A_price,BRK-B_price,CAT_price,DAL_price,F_price,GLD_price,GOOG_price,JNK_price,JPM_price,LUV_price,MSTR_price,NVDA_price,PG_price,market_price,TGT_price,TSLA_price,UAL_price,VCIT_price,WMT_price,XLK_price,XOM_price
2023-10-06,0.0052186640630718095,0.03549281581538266,0.021883738234616867,-0.023048188817512028,-0.025182769958457252,0.021525325678113383,0.026337304028968722,0.03380977779959515,-0.007576312612839531,2.947424318111569e-4,-0.01158664878420601,-0.07316432640602288,-0.004998822976033823,-0.004801500113644996,0.01526939159021623,-0.0023957671503774813,0.01669787860833516,-0.02090398849405406,-0.015746447346430603,0.015089087841642979,0.004805400482272404,7.843316770066444e-4,-0.004045557066508887,-0.04778718568366869,-0.003357851659776867,-0.005456172524303526,0.0010284615479982816,12.760000228881836,175.2725067138672,35.06999969482422,127.95999908447266,187.3800048828125,525425,346.3399963378906,255.53366088867188,35.78936767578125,10.04429817199707,169.6999969482422,137.51756286621094,74.61223602294922,136.83506774902344,25.520593643188477,34.0629997253418,45.73002624511719,134.14236450195312,415.2779235839844,94.80491638183594,260.5299987792969,41.81999969482422,66.22954559326172,50.641075134277344,82.6357650756836,97.74082946777344
2023-10-13,0.004562962183455088,-0.03611869537557888,-0.006577658783241569,0.021865720987334747,-0.015833144230887886,0.007662280215683159,-0.0010812938821401774,-0.06578983764998614,0.004164185953289046,0.05380085472598517,0.014301298958685482,0.025193648688331294,-0.0036091702177547536,-0.0051862777751343625,0.002437302856045598,-0.013181775837010301,0.019986232695107686,0.0071417251470053955,0.06637470455736105,-0.0757989155366976,-0.07412717591446472,-0.08150469774279645,-0.06314604606932017,-0.05702880004002875,0.0014598793914868402,0.011640234313756936,0.0010246153978201058,11.720000267028809,176.61549377441406,33.06999969482422,129.7899932861328,184.91000366210938,522700,345.0899963378906,257.3586120605469,33.07657241821289,9.885265350341797,178.8300018310547,137.36886596679688,74.721160888671875,139.56988525390625,23.909069061279297,31.82200050354004,45.429229736328125,134.70095825195312,417.1728210449219,101.09756469726562,251.1199951171875,38.720001220703125,67.00047302246094,51.74837875366211,82.83717346191406,100.20327758789062
2023-10-20,-0.02389341151180191,-0.15582187951924364,-0.08961516500125954,-0.006694690150998217,-0.01439474130023466,-0.03337977669001968,-0.013277599841645893,0.09370876449519305,0.029680342537553583,0.02661742693115232,-0.0355959269294539,0.011012998174791733,-0.026746677922505402,-0.022383776544863232,-0.027812228704706787,-0.026337192577615465,-0.03412157537915772,-0.06513521022510393,-0.028129976017012948,-0.054838726418766415,-0.09375002463001769,-0.05460753658199391,-0.04611751288647248,-0.03175080879196024,-0.011999262394408294,-0.019309178005726735,0.0010192308059105506,11.079999923706055,170.72010803222656,32.02000045776367,125.16999816894531,180.0399932861328,511000,335.8599853515625,240.5955047607422,31.2626953125,9.742969512939453,183.58999633789062,135.54493713378906,73.8245620727539,134.8075408935547,22.806442260742188,34.80400085449219,41.35808181762695,138.6989288330078,407.20513916015625,98.253692626953125,211.99000549316406,35.09000015258789,65.70674896240234,51.401939392089844,80.53328704833984,101.30681610107422
2023-10-27,-0.024953126281073823,-0.02212369602281783,-0.021431918930602922,0.01518014116815869,-0.1443299513989682,-0.02695527020025268,-0.09755739933691865,0.16871617311473686,-0.006011701282309212,0.013944101583194035,0.020532074238392317,-0.04978383455886204,-0.012356321316873586,-0.014921722113502955,-0.017201484057035143,-0.001943961662841942,-0.05078702310320826,-0.0426967413758802,-0.014702008990622017,-0.04902274808281015,-0.033912756384562814,-0.014440419540958982,-0.0768595744937085,-0.024047484283435616,0.00578865981565535,0.006877593306793717,0.0010201922746805045,10.920000076293945,166.11830139160156,31.25,127.73999786376953,179.69000244140625,503375,331.7099914550781,230.32286071777344,29.730112075805664,8.336767196655273,186.14999389648438,122.32152557373047,74.25190734863281,127.96106719970703,21.05354881286621,40.67599868774414,40.47169876098633,137.8651123046875,397.0440979003906,96.80916595458984,207.3000030517578,33.900001525878906,66.15865325927734,52.182228088378906,79.14799499511719,96.26337432861328
2023-11-03,0.05846403257224386,0.061070928488835996,0.11123461778705379,0.021654244696605707,0.07677275469603617,0.050112940259650074,0.05648282437760743,0.11601440461845103,0.019774595335007916,-0.007305939591423449,0.08501650556881901,0.02112719758448489,0.06059511808898188,0.06047181524708223,0.06603791408708193,0.08548055207111593,0.05387269928362626,0.00918006956071693,0.05241079044155739,0.08809139533670729,0.10648957619953103,0.09706954748503338,0.06087728864771669,0.07392004394531249,0.03551507519358643,0.02239415873545969,0.0010101922658773568,11.979999542236328,174.44297790527344,33.560001373291016,138.60000610351562,195.0500030517578,533815,351.80999755859375,232.43724060058594,32.34907913208008,8.97680377960205,184.7899932861328,129.2305908203125,76.88896942138672,134.85467529296875,22.33523178100586,45.39500045776367,44.97355270385742,140.59133911132812,420.25689697265625,101.88301086425781,219.9600067138672,37.5099983215332,67.64022064208984,53.31219482421875,84.37476348876953,98.297149658203125
2023-11-10,0.01361893105921741,-0.02414081039872984,0.07399181664910448,0.009291779197153405,-0.06628781621230784,0.05658408919643865,0.028304257186227533,0.12166535420465863,0.008929112155101393,-0.028572969160300832,0.03578637255884165,-0.037390783175789144,-0.003553054230051589,-0.0036136114571527767,0.04517907267716037,0.008202977798990263,0.023986188474192094,-0.00444436216697075,-0.04005313759687168,0.021289564754825907,0.012796677643625465,-0.015024988178577559,-0.02278478721007704,0.020858072693622942,-0.005808895840450745,-2.6292224483481785e-4,0.0010096153846153846,11.800000190734863,184.3136749267578,34.2599983215332,143.55999755859375,196.64999389648438,531886,350.55999755859375,231.40420532226562,33.037776947021484,8.38175106048584,179.50999450683594,132.88836669921875,76.44232940673828,138.08932495117188,21.82632827758789,50.917999267578125,48.30122756958008,141.84669494628906,425.9803466796875,97.802276611328125,214.64999389648438,37.9900016784668,67.6224365234375,53.807559967041016,88.186737060546875,94.62174224853516
2023-11-17,0.023104305297608763,0.09154441981838457,0.019923428414286404,-0.06522655373724351,0.041582322617509826,0.017650286058301434,0.021482788094852046,-0.04509206278045719,-0.002245466226838966,0.02317421753333604,0.011284446536203863,0.020913525364447683,0.02387607021759086,0.023132776572423408,0.018271081837822,0.057920161419603655,0.04363842736354373,0.055866132869326846,0.211440705070699,0.05871969267913335,0.04659111779059644,0.04152540366083235,0.07124354708727787,0.07297139878809311,0.009039618845307684,0.01880845381370233,0.0010063461156991813,12.289999961853027,187.56686401367188,36.7599983215332,145.17999267578125,208.0399932861328,544190,358.92999267578125,244.3318634033203,34.977745056152344,8.730283737182617,183.6699981689453,135.74317932128906,77.13333892822266,144.11532592773438,23.38131332397461,48.62200164794922,49.263553619384766,141.52818298339844,435.82232666015625,118.48165893554688,234.3000030517578,39.7599983215332,68.8943099975586,50.29787826538086,89.798004150390625,96.600616455078125
2023-11-24,0.0100046033107144,0.004908211188671352,-0.030873356308141142,0.0045704731341835725,0.0126578946046072,0.0014760361335988126,0.009347166415712982,0.06996825505418736,0.002051925399703336,0.010072445810196617,0.010745370547487587,-0.0037157125666856805,0.010447719824259183,0.009757621418989615,0.008807303718843196,0.05748897856104862,0.004711510383237583,-0.022562888707239548,0.012087218058281834,0.001109147291488588,-0.001257526136098197,0.0016273765521359618,0.002418395270824103,0.011969599061393499,0.00371463125546434,0.0019365201882810545,0.0010101922658773568,12.3100004196167,187.84371948242188,37.20000076293945,146.74000549316406,220,549500,362.67999267578125,238.81903076171875,35.01654052734375,8.840790748596191,185.52000427246094,137.01199340820312,77.41986083984375,144.79432678222656,23.43785858154297,52.02399826049805,47.74262237548828,141.81858825683594,440.18255615234375,119.91377258300781,235.4499969482422,39.709999084472656,69.02772521972656,50.52776336669922,90.58888244628906,96.2416763305664
2023-12-01,0.008346354544006118,0.014355510412495498,-0.021161298178681953,-0.011021512885459606,0.017307964269753118,0.0066852545537046115,-0.03545063723812025,0.014301155635386031,0.008455575038386787,0.03498269774101326,0.0019762387575099627,-0.015109489496645478,-0.015468141239810662,-0.012895359417652408,0.0063446285250066126,0.06304543235085225,0.021492656788883346,0.038001452152940596,0.02525491275939995,0.054016743621788654,0.013346829670448868,0.057676686754254414,0.07318052100114358,0.06801071847873152,0.017299895068536575,0.021172460946005334,0.0010028846447284405,13.020000457763672,189.09950256347656,39.72999954223633,147.02999877929688,233.8699951171875,542414,357.07000732421875,247.89450073242188,36.90802001953125,8.993806838989258,192.00999450683594,132.1548309326172,78.75921630859375,147.90634155273438,25.153053283691406,52.768001556396484,46.73232650756836,143.0177459716797,443.8564758300781,122.94218444824219,238.8300018310547,40.2400016784668,70.48921203613281,49.97087097167969,91.16363525390625,94.78751373291016
2023-12-08,0.00239585448281443,0.020977241001655766,0.015934322884946228,-0.01891727083435757,0.0406425192642319,0.023373847367327505,0.024902495687803228,0.13589670649105035,-0.049194313210839336,-0.03317533096935077,0.002652515764717256,-0.03340126910930141,-0.011174337441145488,-0.00445047509835661,0.005819650179931468,0.04630778662148605,0.01071164394796753,0.010671294509533302,0.00304196067611584,0.060446712507503664,0.018141140948981782,0.05683561790329361,0.08917194264483697,-0.10369994914056968,-0.001398607088859083,-6.328496025937991e-4,0.0010063461156991813,13.760000228881836,193.5194854736328,35.61000061035156,147.4199981689453,244.6999969482422,540000,353.0799865722656,250.53985595703125,39.13898849487305,9.35933780670166,185.63999938964844,135.44581604003906,78.64906311035156,149.49066162109375,27.395999908447266,59.93899917602539,47.47697448730469,135.98208618164062,444.9198913574219,123.31616973876953,243.83999633789062,40.970001220703125,70.4446029663086,49.02555847167969,91.69417572021484,91.621490478515625
