DATEHOUR,LOAD,LOCATION
2016-01-01 14:00,1259.357709,East (Tyler)
2016-01-01 14:00,2186.066621,Far West (Midland)
2016-01-01 14:00,815.5306726,North (Wichita Falls)
2016-01-01 14:00,12667.28564,North Central (DFW)
2016-01-01 14:00,3428.009329,South (Corpus Christi)
2016-01-01 14:00,6449.020616,South Central (Austin)
2016-01-01 15:00,9978.951757,Coast (Houston)
2016-01-01 15:00,1235.5523,East (Tyler)
2016-01-01 15:00,2166.090999,Far West (Midland)
2016-01-01 15:00,809.1890161,North (Wichita Falls)
2016-01-01 15:00,12428.93693,North Central (DFW)
2016-01-01 15:00,3433.313355,South (Corpus Christi)
2016-01-01 15:00,6379.348034,South Central (Austin)
2016-01-01 15:00,1184.922003,West (Abilene)
2016-01-01 16:00,9995.437138,Coast (Houston)
2016-01-01 16:00,1232.859135,East (Tyler)
2016-01-01 16:00,2160.876491,Far West (Midland)
2016-01-01 16:00,786.9960184,North (Wichita Falls)
2016-01-01 16:00,12262.82524,North Central (DFW)
2016-01-01 16:00,3451.207173,South (Corpus Christi)
2016-01-01 16:00,6413.135107,South Central (Austin)
2016-01-01 16:00,1177.44355,West (Abilene)
2016-01-01 17:00,1183.25719,West (Abilene)
2016-01-01 17:00,10094.17239,Coast (Houston)
2016-01-01 17:00,1250.237116,East (Tyler)
2016-01-01 17:00,2163.425557,Far West (Midland)
2016-01-01 17:00,785.002807,North (Wichita Falls)
2016-01-01 17:00,12378.67821,North Central (DFW)
2016-01-01 17:00,3517.562756,South (Corpus Christi)
2016-01-01 17:00,6551.22079,South Central (Austin)
2016-01-01 18:00,10597.36906,Coast (Houston)
2016-01-01 18:00,1340.207736,East (Tyler)
2016-01-01 18:00,2192.49751,Far West (Midland)
2016-01-01 18:00,832.7768519,North (Wichita Falls)
2016-01-01 18:00,13146.00826,North Central (DFW)
2016-01-01 18:00,3659.564831,South (Corpus Christi)
2016-01-01 18:00,6874.651486,South Central (Austin)
2016-01-01 18:00,1231.413467,West (Abilene)
2016-01-01 19:00,10809.2774,Coast (Houston)
2016-01-01 19:00,1392.444184,East (Tyler)
2016-01-01 19:00,2246.2046,Far West (Midland)
2016-01-01 19:00,873.8533496,North (Wichita Falls)
2016-01-01 19:00,13672.88921,North Central (DFW)
2016-01-01 19:00,3815.907048,South (Corpus Christi)
2016-01-01 19:00,7078.585107,South Central (Austin)
2016-01-01 19:00,1281.962764,West (Abilene)
2016-01-01 20:00,1284.417757,West (Abilene)
2016-01-01 20:00,10686.84104,Coast (Houston)
2016-01-01 20:00,1388.524488,East (Tyler)
2016-01-01 20:00,2245.804536,Far West (Midland)
2016-01-01 20:00,876.0679384,North (Wichita Falls)
2016-01-01 20:00,13584.40543,North Central (DFW)
2016-01-01 20:00,3822.202,South (Corpus Christi)
2016-01-01 20:00,7013.731888,South Central (Austin)
2016-01-01 21:00,10575.21576,Coast (Houston)
2016-01-01 21:00,1382.00059,East (Tyler)
2016-01-01 21:00,2236.219247,Far West (Midland)
2016-01-01 21:00,871.4185716,North (Wichita Falls)
2016-01-01 21:00,13454.56763,North Central (DFW)
2016-01-01 21:00,3813.095092,South (Corpus Christi)
2016-01-01 21:00,6919.989925,South Central (Austin)
2016-01-01 21:00,1272.56978,West (Abilene)
2016-01-01 22:00,10387.34047,Coast (Houston)
2016-01-01 22:00,1355.153199,East (Tyler)
2016-01-01 22:00,2204.952017,Far West (Midland)
2016-01-01 22:00,860.2190711,North (Wichita Falls)
2016-01-01 22:00,13198.75651,North Central (DFW)
2016-01-01 22:00,3746.740391,South (Corpus Christi)
2016-01-01 22:00,6758.558178,South Central (Austin)
2016-01-01 22:00,1263.115736,West (Abilene)
2016-01-01 23:00,1220.331651,West (Abilene)
2016-01-01 23:00,10110.45651,Coast (Houston)
2016-01-01 23:00,1310.197647,East (Tyler)
2016-01-01 23:00,2166.679014,Far West (Midland)
2016-01-01 23:00,839.035684,North (Wichita Falls)
2016-01-01 23:00,12780.82756,North Central (DFW)
2016-01-01 23:00,3655.22773,South (Corpus Christi)
2016-01-01 23:00,6481.728479,South Central (Austin)
2016-01-02 0:00,9714.6637,Coast (Houston)
2016-01-02 0:00,1252.295,East (Tyler)
2016-01-02 0:00,2126.6529,Far West (Midland)
2016-01-02 0:00,814.40409,North (Wichita Falls)
2016-01-02 0:00,12248.0728,North Central (DFW)
